status	repo	sha	path	raw_url	note
ok	0u44/Programming-Languages	09964b15c217a1aa43af3dc7b5952a8eb78f4915	Hello World.lol	https://raw.githubusercontent.com/0u44/Programming-Languages/f3f440a0809a5916db0200557377548fdb00387a/Hello%20World.lol	
ok	2020-nCoV/wuhan-jiayou	1fd31e799289c8d7fb10bfb4a92ca025c02c64cc	l/lolpython.lol	https://raw.githubusercontent.com/2020-nCoV/wuhan-jiayou/4e13186ce9e27e89c7e54192ca42647d2a944f59/l/lolpython.lol	
ok	A1rPun/nurture	1374f70cfdf80ab66308a83b7fb076101ae665fe	esolang/lolcode/helloworld.lol	https://raw.githubusercontent.com/A1rPun/nurture/129eec07e6441b770da238dd338c47aee6806f83/esolang/lolcode/helloworld.lol	
ok	ABCD-rgb/lolcode-interpreter	0f363b3c495ae3215263eead7274f752e4ae6b3e	source code/project-testcases/extra.lol	https://raw.githubusercontent.com/ABCD-rgb/lolcode-interpreter/643d03daf9ebfacf2431a41f2cf61bd1419bdc1e/source%20code/project-testcases/extra.lol	
ok	AbhishekR25/cerner_2_5_2022	260116f43dea917b50211300b0fcb818271c384e	PowerOfANum.lol	https://raw.githubusercontent.com/AbhishekR25/cerner_2_5_2022/cbc871a649f34bcba89b7f0022bf84f0c21472a8/PowerOfANum.lol	
ok	AharonSambol/AdventOfCode	0325a4d5c7125928e426fab526cce6857427ec1c	2020/LOLAnswers/day2.lol	https://raw.githubusercontent.com/AharonSambol/AdventOfCode/559b6b2df77305de0150a9c7f15d85a0d6e07297/2020/LOLAnswers/day2.lol	
ok	Ajlyde/LOLCODE	13a4b7b5240b43d2e2d882621c335829ef779b44	test1.lol	https://raw.githubusercontent.com/Ajlyde/LOLCODE/b448fbf6293d745c7a9add8201c9301f33660ed5/test1.lol	
ok	Ajlyde/LOLCODE	135a9cc9987732751291dea6bad2fb9f4390bfba	test2.lol	https://raw.githubusercontent.com/Ajlyde/LOLCODE/b448fbf6293d745c7a9add8201c9301f33660ed5/test2.lol	
ok	AldCristobal/CMSC-124-Project-CodeAndDecode	1af61688a3013df1ca4522de0ef037e18a9daf19	samplecodes/this.lol	https://raw.githubusercontent.com/AldCristobal/CMSC-124-Project-CodeAndDecode/5d4212d195d6f6aa5cabf2c3c0ceceb6125fe9df/samplecodes/this.lol	
ok	AlexaCabral/CMSC124_project	115b499144bcfa60a91c164fd1ce3307ed14aeed	project-testcases/04_smoosh_assign.lol	https://raw.githubusercontent.com/AlexaCabral/CMSC124_project/7d932f3ca3d8589a3302344e191e1d923f81b43f/project-testcases/04_smoosh_assign.lol	
